DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Jul-2026,EQ,"1,918.00","1,925.20","1,902.70","1,921.80","1,908.00","1,908.80","1,911.98","2,174.50","1,740.50","47,15,613","9,01,61,55,922.80","1,27,073"
16-Jul-2026,EQ,"1,928.00","1,936.00","1,917.00","1,918.30","1,921.00","1,921.80","1,925.92","2,174.50","1,740.50","46,44,787","8,94,55,10,680.30","1,15,838"
15-Jul-2026,EQ,"1,953.70","1,953.70","1,916.60","1,936.50","1,920.00","1,918.30","1,930.71","2,174.50","1,740.50","57,63,065","11,12,68,09,423.00","1,22,179"
14-Jul-2026,EQ,"1,885.00","1,941.10","1,885.00","1,901.80","1,934.00","1,936.50","1,930.80","2,174.50","1,740.50","69,64,062","13,44,61,92,088.70","1,82,694"
13-Jul-2026,EQ,"1,914.00","1,917.00","1,896.70","1,920.40","1,903.60","1,901.80","1,905.41","2,174.50","1,740.50","78,62,506","14,98,12,84,461.00","1,07,576"
10-Jul-2026,EQ,"1,930.00","1,930.00","1,906.00","1,931.10","1,919.00","1,920.40","1,916.53","2,174.50","1,740.50","64,20,887","12,30,58,46,472.40","1,65,672"
09-Jul-2026,EQ,"1,902.00","1,966.00","1,898.80","1,888.10","1,935.10","1,931.10","1,939.14","2,174.50","1,740.50","1,11,45,066","21,61,18,57,969.20","3,59,446"
08-Jul-2026,EQ,"1,911.00","1,924.20","1,875.10","1,925.80","1,885.50","1,888.10","1,898.57","2,174.50","1,740.50","61,88,780","11,74,98,40,325.00","1,52,476"
07-Jul-2026,EQ,"1,923.50","1,956.50","1,917.00","1,925.70","1,922.70","1,925.80","1,934.39","2,174.50","1,740.50","57,67,438","11,15,64,63,291.60","1,93,051"
06-Jul-2026,EQ,"1,916.80","1,932.70","1,915.60","1,910.40","1,927.00","1,925.70","1,924.95","2,174.50","1,740.50","27,40,217","5,27,47,79,529.80","99,399"
03-Jul-2026,EQ,"1,890.00","1,913.00","1,885.00","1,875.00","1,909.00","1,910.40","1,903.54","2,174.50","1,740.50","50,87,043","9,68,33,87,583.90","1,14,107"
02-Jul-2026,EQ,"1,860.80","1,883.80","1,850.20","1,871.00","1,872.90","1,875.00","1,863.80","2,174.50","1,740.50","52,82,404","9,84,53,56,345.30","1,84,214"
01-Jul-2026,EQ,"1,845.60","1,887.00","1,845.60","1,852.00","1,870.00","1,871.00","1,871.36","2,174.50","1,740.50","43,07,333","8,06,05,78,470.20","1,47,905"
30-Jun-2026,EQ,"1,853.00","1,876.60","1,843.20","1,841.10","1,855.00","1,852.00","1,859.54","2,174.50","1,740.50","72,33,634","13,45,12,18,056.10","1,58,915"
29-Jun-2026,EQ,"1,837.10","1,849.80","1,833.10","1,850.70","1,846.00","1,841.10","1,840.55","2,174.50","1,740.50","1,09,40,130","20,13,58,65,263.00","2,13,920"
25-Jun-2026,EQ,"1,885.00","1,889.00","1,848.00","1,877.30","1,849.90","1,850.70","1,861.08","2,174.50","1,740.50","85,21,503","15,85,92,13,698.70","1,71,042"
24-Jun-2026,EQ,"1,891.20","1,894.10","1,872.90","1,901.60","1,874.80","1,877.30","1,883.34","2,174.50","1,740.50","89,57,457","16,86,99,15,025.70","1,28,272"
23-Jun-2026,EQ,"1,907.60","1,927.70","1,896.70","1,916.60","1,899.00","1,901.60","1,910.16","2,174.50","1,740.50","51,55,908","9,84,86,29,239.50","1,09,193"
22-Jun-2026,EQ,"1,915.80","1,924.50","1,901.00","1,910.80","1,916.00","1,916.60","1,916.73","2,174.50","1,740.50","37,98,060","7,27,98,49,609.70","1,29,686"
19-Jun-2026,EQ,"1,874.30","1,917.50","1,867.20","1,874.80","1,906.90","1,910.80","1,905.73","2,174.50","1,740.50","1,59,18,432","30,33,62,72,702.90","1,56,746"
18-Jun-2026,EQ,"1,878.80","1,878.80","1,861.80","1,875.70","1,874.20","1,874.80","1,871.36","2,174.50","1,740.50","42,62,944","7,97,75,07,623.20","1,14,303"
