DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Jul-2026,EQ,"279.35","281.95","277.80","279.35","280.50","280.70","280.34","427.00","275.00","1,52,15,868","4,26,55,63,857.10","4,02,739"
16-Jul-2026,EQ,"277.00","280.45","276.00","276.65","279.80","279.35","278.69","427.00","275.00","1,12,20,653","3,12,71,03,423.95","3,18,621"
15-Jul-2026,EQ,"276.65","277.70","275.30","275.55","276.70","276.65","276.67","427.00","275.00","85,23,722","2,35,82,49,749.85","2,17,400"
14-Jul-2026,EQ,"279.25","280.65","275.00","279.65","275.30","275.55","276.73","427.00","275.00","1,50,18,851","4,15,60,98,836.80","3,19,838"
13-Jul-2026,EQ,"281.35","281.50","279.50","281.75","279.85","279.65","280.20","427.00","275.05","1,25,59,492","3,51,91,71,166.20","2,43,354"
10-Jul-2026,EQ,"282.85","283.65","280.85","282.05","281.80","281.75","281.84","427.00","275.05","1,17,74,274","3,31,84,33,752.00","2,60,527"
09-Jul-2026,EQ,"281.25","284.40","281.00","280.65","281.85","282.05","282.70","427.00","275.05","1,25,12,120","3,53,71,72,547.50","2,61,581"
08-Jul-2026,EQ,"286.90","287.85","280.00","288.75","280.85","280.65","282.88","427.00","275.05","2,15,93,793","6,10,84,81,851.55","3,49,436"
07-Jul-2026,EQ,"288.30","290.70","286.55","288.25","288.00","288.75","288.60","427.00","275.05","1,84,91,160","5,33,64,64,642.05","3,57,922"
06-Jul-2026,EQ,"289.95","290.40","287.60","289.95","289.00","288.25","288.49","427.00","275.05","2,71,26,124","7,82,56,51,952.70","3,07,674"
03-Jul-2026,EQ,"291.30","291.60","289.00","289.90","290.10","289.95","290.39","427.00","275.05","65,17,591","1,89,26,72,377.30","2,32,269"
02-Jul-2026,EQ,"290.70","291.00","287.70","290.30","289.75","289.90","289.63","427.00","275.05","1,27,22,639","3,68,48,75,766.50","2,64,019"
01-Jul-2026,EQ,"287.85","291.00","287.10","286.95","290.05","290.30","289.72","427.00","275.05","65,51,425","1,89,80,83,865.00","2,48,275"
30-Jun-2026,EQ,"291.50","291.60","285.50","290.70","287.30","286.95","287.55","427.00","275.05","1,81,80,676","5,22,79,38,463.70","4,33,044"
29-Jun-2026,EQ,"290.45","291.90","289.35","290.00","291.00","290.70","290.70","427.00","275.05","1,01,10,022","2,93,89,64,571.35","3,49,908"
25-Jun-2026,EQ,"290.35","292.25","289.20","290.35","290.00","290.00","290.66","427.00","275.05","1,12,30,239","3,26,42,29,395.30","2,88,842"
24-Jun-2026,EQ,"290.00","291.40","289.45","290.00","290.20","290.35","290.45","427.00","275.05","62,18,635","1,80,62,05,507.85","2,27,851"
23-Jun-2026,EQ,"291.25","293.15","289.65","291.25","290.10","290.00","290.89","427.00","275.05","94,10,364","2,73,73,68,402.10","2,27,663"
22-Jun-2026,EQ,"292.80","293.95","290.05","292.50","290.75","291.25","291.40","427.00","275.05","99,47,873","2,89,88,14,725.95","2,65,137"
19-Jun-2026,EQ,"289.80","294.55","288.40","291.15","293.90","292.50","290.95","427.00","275.05","1,38,74,008","4,03,66,48,451.40","2,54,060"
18-Jun-2026,EQ,"291.05","291.90","288.00","290.75","290.95","291.15","290.24","427.00","275.05","1,04,09,670","3,02,13,35,692.20","2,36,338"
