DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Jul-2026,EQ,"377.50","391.80","375.70","377.15","390.70","389.95","385.76","2,266.00","345.50","1,78,47,316","6,88,47,01,921.05","1,68,736"
16-Jul-2026,EQ,"377.50","381.25","376.55","378.40","376.70","377.15","378.67","2,266.00","345.50","1,08,89,356","4,12,34,29,986.90","1,21,454"
15-Jul-2026,EQ,"379.35","382.80","376.25","378.65","378.45","378.40","378.76","2,266.00","345.50","80,82,156","3,06,11,62,333.20","93,507"
14-Jul-2026,EQ,"383.50","383.50","376.10","384.65","378.10","378.65","378.30","2,266.00","345.50","1,62,37,528","6,14,27,03,946.15","1,69,778"
13-Jul-2026,EQ,"375.80","385.15","375.10","377.60","385.05","384.65","380.50","2,266.00","345.50","1,41,67,721","5,39,08,10,675.65","1,14,076"
10-Jul-2026,EQ,"377.45","381.15","376.90","377.15","378.15","377.60","379.06","2,266.00","345.50","1,54,68,937","5,86,36,71,001.45","1,37,162"
09-Jul-2026,EQ,"371.50","377.95","368.40","370.10","377.30","377.15","373.26","2,266.00","345.50","3,07,20,415","11,46,66,32,415.95","3,10,195"
08-Jul-2026,EQ,"378.50","381.75","369.10","381.70","370.45","370.10","373.59","2,266.00","345.50","2,25,17,529","8,41,24,13,342.30","3,74,638"
07-Jul-2026,EQ,"381.50","382.90","378.65","381.30","382.15","381.70","381.14","2,266.00","345.50","2,32,16,875","8,84,88,37,487.75","2,45,127"
06-Jul-2026,EQ,"389.75","389.75","380.70","396.75","381.25","381.30","383.27","2,266.00","345.50","3,41,64,881","13,09,43,12,242.05","2,98,802"
03-Jul-2026,EQ,"400.00","401.45","394.55","399.30","396.95","396.75","397.17","2,266.00","345.50","1,47,47,410","5,85,72,64,796.45","1,76,914"
02-Jul-2026,EQ,"400.45","405.00","397.30","400.45","398.55","399.30","400.04","2,266.00","345.50","1,29,80,945","5,19,29,42,977.90","1,73,231"
01-Jul-2026,EQ,"397.35","401.40","393.25","392.25","399.00","400.45","397.38","2,266.00","345.50","2,17,23,944","8,63,27,43,849.15","2,68,675"
30-Jun-2026,EQ,"395.50","397.00","389.90","395.50","396.00","392.25","392.64","2,266.00","345.50","2,48,24,891","9,74,72,37,077.95","1,61,004"
29-Jun-2026,EQ,"402.50","404.85","394.10","409.00","397.00","395.50","398.25","2,266.00","345.50","3,72,10,245","14,81,90,39,456.10","2,67,343"
25-Jun-2026,EQ,"409.50","413.80","407.20","405.95","409.75","409.00","410.15","2,266.00","345.50","1,65,87,414","6,80,32,64,731.25","1,47,722"
24-Jun-2026,EQ,"401.65","407.95","400.20","401.65","406.50","405.95","405.87","2,266.00","345.50","1,17,68,059","4,77,63,08,950.40","1,18,690"
23-Jun-2026,EQ,"398.00","405.00","398.00","402.15","401.65","401.65","401.99","2,266.00","345.50","1,00,77,909","4,05,11,84,628.20","93,188"
22-Jun-2026,EQ,"399.25","403.10","398.75","399.25","401.20","402.15","401.07","2,266.00","345.50","71,58,956","2,87,12,28,129.50","1,35,332"
19-Jun-2026,EQ,"402.50","403.55","398.00","402.95","399.50","399.25","399.73","2,266.00","345.50","1,75,04,009","6,99,68,11,406.65","1,44,218"
18-Jun-2026,EQ,"403.95","404.25","399.65","404.50","403.00","402.95","402.63","2,266.00","345.50","93,42,524","3,76,15,99,295.65","1,18,667"
17-Jun-2026,EQ,"407.85","408.75","402.55","407.85","404.00","404.50","404.42","2,266.00","345.50","1,16,54,415","4,71,32,50,102.80","84,598"
16-Jun-2026,EQ,"405.75","408.55","404.50","405.75","407.95","407.85","407.28","2,266.00","345.50","90,79,548","3,69,79,40,979.40","1,31,020"
15-Jun-2026,EQ,"408.00","411.00","402.45","403.30","404.85","405.75","405.65","2,266.00","345.50","1,42,69,679","5,78,84,64,698.85","1,26,203"
12-Jun-2026,EQ,"397.75","404.50","394.95","393.35","404.00","403.30","400.16","2,266.00","345.50","1,72,27,481","6,89,37,56,636.20","1,52,404"
11-Jun-2026,EQ,"386.00","399.90","384.55","388.10","392.60","393.35","394.62","2,266.00","345.50","1,61,35,289","6,36,72,62,715.90","1,67,780"
10-Jun-2026,EQ,"380.50","391.20","380.50","381.70","388.00","388.10","388.44","2,266.00","345.50","2,14,27,363","8,32,31,45,858.85","1,98,706"
09-Jun-2026,EQ,"379.70","382.45","377.30","377.10","382.15","381.70","380.38","2,266.00","345.50","1,39,87,913","5,32,07,36,708.25","93,474"
08-Jun-2026,EQ,"373.00","378.90","372.70","377.45","376.85","377.10","376.53","2,266.00","345.50","1,44,60,894","5,44,49,96,719.60","1,51,628"
05-Jun-2026,EQ,"381.50","383.70","374.65","381.50","376.95","377.45","378.88","2,266.00","345.50","1,01,29,597","3,83,78,76,400.25","89,111"
04-Jun-2026,EQ,"378.50","384.00","377.90","381.00","381.50","381.50","381.34","2,266.00","345.50","1,38,89,236","5,29,64,81,386.00","1,48,135"
03-Jun-2026,EQ,"377.60","383.45","375.10","379.05","382.45","381.00","379.38","2,266.00","345.50","1,48,44,206","5,63,15,36,284.80","1,07,837"
02-Jun-2026,EQ,"373.00","381.55","372.20","377.40","379.90","379.05","378.48","2,266.00","345.50","1,48,34,956","5,61,48,07,528.85","1,43,047"
01-Jun-2026,EQ,"384.15","387.00","375.65","384.20","378.00","377.40","379.65","2,266.00","345.50","1,23,35,552","4,68,32,03,951.10","1,31,176"
29-May-2026,EQ,"388.85","392.55","381.25","388.70","385.65","384.20","385.33","2,266.00","345.50","4,01,09,830","15,45,54,76,188.80","2,22,633"
27-May-2026,EQ,"388.55","390.50","386.70","388.65","389.40","388.70","388.84","2,266.00","345.50","93,26,451","3,62,64,79,742.35","1,31,286"
26-May-2026,EQ,"392.85","394.95","387.00","392.85","389.50","388.65","389.08","2,266.00","345.50","1,50,59,212","5,85,93,00,196.10","1,73,971"
25-May-2026,EQ,"388.30","395.15","387.25","384.15","393.25","392.85","391.92","2,266.00","345.50","1,55,71,552","6,10,27,41,307.90","1,80,840"
22-May-2026,EQ,"381.00","386.30","381.00","380.85","384.60","384.15","384.54","2,266.00","345.50","1,03,48,359","3,97,93,70,152.60","1,35,345"
21-May-2026,EQ,"384.70","386.45","377.90","383.20","381.50","380.85","381.60","2,266.00","345.50","1,01,33,840","3,86,70,93,316.75","1,31,415"
20-May-2026,EQ,"376.30","384.05","376.30","381.95","383.00","383.20","381.44","2,266.00","345.50","1,23,42,444","4,70,79,05,328.15","2,13,408"
19-May-2026,EQ,"388.50","391.80","380.25","391.80","382.40","381.95","384.60","2,266.00","345.50","2,25,67,886","8,67,96,17,158.55","1,78,863"
18-May-2026,EQ,"382.00","393.00","380.30","387.05","391.45","391.80","388.19","2,266.00","345.50","1,45,75,831","5,65,82,05,990.15","1,68,887"
15-May-2026,EQ,"383.20","393.30","380.50","383.20","388.50","387.05","388.94","2,266.00","345.50","1,94,61,437","7,56,93,81,445.20","2,05,717"
14-May-2026,EQ,"378.00","385.00","375.60","377.65","383.50","383.20","382.09","2,266.00","345.50","1,06,52,514","4,07,01,93,958.45","1,02,994"
13-May-2026,EQ,"377.90","384.00","376.85","376.00","378.95","377.65","380.69","2,266.00","345.50","1,62,67,456","6,19,28,68,656.05","1,65,040"
12-May-2026,EQ,"380.20","381.05","374.55","381.05","376.00","376.00","377.73","2,266.00","345.50","1,30,65,308","4,93,51,78,182.35","1,67,954"
11-May-2026,EQ,"376.10","386.00","374.40","380.80","380.45","381.05","381.58","2,266.00","345.50","2,13,47,878","8,14,59,97,446.05","2,44,055"
08-May-2026,EQ,"379.00","381.50","374.00","379.40","381.00","380.80","378.41","2,266.00","345.50","1,61,83,126","6,12,39,16,353.25","1,33,788"
07-May-2026,EQ,"376.10","382.45","374.30","376.60","380.45","379.40","378.69","2,266.00","345.50","2,72,86,751","10,33,31,00,877.35","1,47,908"
06-May-2026,EQ,"374.00","380.00","365.65","371.35","377.15","376.60","372.52","2,266.00","345.50","3,61,95,481","13,48,36,12,942.20","3,31,672"
05-May-2026,EQ,"371.00","375.50","368.75","371.65","371.60","371.35","372.70","2,266.00","345.50","1,90,84,772","7,11,28,27,692.60","2,02,863"
04-May-2026,EQ,"378.90","382.05","363.00","383.30","371.10","371.65","372.83","2,266.00","345.50","7,44,67,483","27,76,38,36,852.15","7,33,002"
30-Apr-2026,EQ,"376.60","386.85","375.30","382.00","383.75","383.30","381.60","2,266.00","345.50","2,48,12,228","9,46,82,92,375.20","1,77,003"
29-Apr-2026,EQ,"378.00","386.05","377.55","377.95","382.00","382.00","383.08","2,266.00","345.50","79,13,344","3,03,14,79,066.60","1,41,526"
28-Apr-2026,EQ,"372.00","383.25","372.00","376.80","377.25","377.95","379.13","2,266.00","345.50","1,28,52,733","4,87,29,04,209.55","1,59,001"
27-Apr-2026,EQ,"375.00","380.45","373.25","370.85","377.00","376.80","377.27","2,266.00","345.50","1,15,59,552","4,36,10,39,247.70","1,33,226"
24-Apr-2026,EQ,"370.60","372.80","367.65","370.40","371.00","370.85","370.33","2,301.90","345.50","1,96,78,907","7,28,76,77,413.30","1,40,324"
23-Apr-2026,EQ,"370.05","375.95","367.65","376.85","371.45","370.40","370.90","2,301.90","345.50","2,76,28,052","10,24,71,78,725.95","2,89,738"
22-Apr-2026,EQ,"378.10","382.80","376.25","382.15","376.95","376.85","378.42","2,301.90","345.50","1,44,71,487","5,47,62,70,851.95","1,54,952"
21-Apr-2026,EQ,"381.45","383.15","378.35","379.20","382.35","382.15","381.51","2,301.90","345.50","1,23,23,488","4,70,15,21,947.20","1,52,249"
20-Apr-2026,EQ,"384.10","386.00","378.00","383.60","380.00","379.20","380.55","2,301.90","345.50","1,11,46,713","4,24,18,85,694.50","1,61,795"
17-Apr-2026,EQ,"379.30","385.20","376.65","379.15","383.35","383.60","383.29","2,301.90","345.50","1,16,26,179","4,45,62,46,201.25","1,08,315"
16-Apr-2026,EQ,"383.15","386.45","378.25","382.40","378.85","379.15","381.27","2,301.90","345.50","1,20,60,624","4,59,83,72,523.45","1,48,269"
15-Apr-2026,EQ,"375.50","383.00","375.50","371.90","382.35","382.40","380.18","2,301.90","345.50","1,91,00,372","7,26,16,16,781.40","1,39,952"
13-Apr-2026,EQ,"367.95","373.00","365.60","374.55","372.85","371.90","368.97","2,301.90","345.50","3,00,27,087","11,07,89,46,988.05","1,61,872"
10-Apr-2026,EQ,"373.50","379.15","372.35","371.90","375.00","374.55","375.96","2,301.90","345.50","2,37,51,660","8,92,97,54,627.75","1,86,514"
09-Apr-2026,EQ,"377.00","378.70","369.45","380.15","371.85","371.90","373.51","2,301.90","345.50","1,24,22,256","4,63,98,15,213.65","1,16,017"
08-Apr-2026,EQ,"377.00","381.15","369.45","362.95","379.50","380.15","376.64","2,301.90","345.50","3,01,62,218","11,36,04,30,357.75","2,36,895"
