Date,Close/Last,Volume,Open,High,Low
07/17/2026,$95.04,126779300,$92.14,$98.05,$89.59
07/16/2026,$96.98,107742900,$101.14,$101.88,$95.48
07/15/2026,$102.99,120625500,$109.30,$109.61,$99.20
07/14/2026,$107.76,91129020,$107.98,$109.19,$103.5905
07/13/2026,$103.12,100988800,$105.98,$106.17,$101.79
07/10/2026,$109.84,70846600,$109.575,$110.85,$107.45
07/09/2026,$112.54,99352460,$114.87,$116.7699,$111.51
07/08/2026,$110.24,105488100,$108.30,$110.49,$104.41
07/07/2026,$110.39,140405900,$116.30,$116.47,$108.30
07/06/2026,$122.20,86950210,$122.57,$127.30,$121.52
07/02/2026,$120.35,125021700,$128.915,$130.74,$117.63
07/01/2026,$127.02,113107200,$135.00,$135.7399,$126.6805
06/30/2026,$139.63,116996700,$131.99,$142.35,$131.5201
06/29/2026,$131.72,106805300,$127.00,$132.05,$118.50
06/26/2026,$128.32,99475350,$128.705,$131.23,$125.50
06/25/2026,$132.87,123120200,$139.73,$140.72,$125.41
06/24/2026,$131.65,104591700,$133.045,$136.08,$127.95
06/23/2026,$132.28,132976700,$129.73,$137.98,$128.30
06/22/2026,$140.94,127190600,$139.12,$141.45,$136.21
06/18/2026,$133.99,233906600,$131.805,$135.48,$127.90
06/17/2026,$121.10,115324900,$121.85,$125.20,$118.06
06/16/2026,$117.05,132962600,$125.105,$128.70,$116.00
06/15/2026,$127.86,134507500,$129.49,$132.61,$126.66
06/12/2026,$124.57,151526800,$117.415,$127.60,$115.33
06/11/2026,$116.96,188430300,$113.52,$119.44,$110.5118
06/10/2026,$107.04,122653500,$106.03,$111.50,$104.92
06/09/2026,$107.92,149623100,$112.99,$113.998,$99.46
06/08/2026,$110.27,136973900,$111.00,$112.54,$106.66
06/05/2026,$99.17,145209400,$106.48,$106.48,$98.33
06/04/2026,$111.78,77325820,$108.40,$113.14,$107.4801
06/03/2026,$112.71,118928800,$116.42,$118.29,$110.86
06/02/2026,$107.93,106336200,$107.45,$109.00,$104.17
06/01/2026,$109.33,134900400,$109.43,$113.30,$106.33
05/29/2026,$114.68,191676100,$123.85,$126.64,$113.54
05/28/2026,$120.89,97320990,$121.445,$123.08,$116.31
05/27/2026,$121.77,93323340,$124.39,$125.27,$117.00
05/26/2026,$123.52,108167300,$122.095,$125.62,$117.35
05/22/2026,$119.84,82663020,$120.34,$122.78,$118.09
05/21/2026,$118.50,102452500,$116.58,$119.41,$113.17
05/20/2026,$118.96,165086900,$116.22,$121.94,$114.80
05/19/2026,$110.80,150234900,$106.98,$113.0699,$102.40
05/18/2026,$108.17,145764000,$113.47,$115.54,$103.85
05/15/2026,$108.77,135206000,$109.785,$110.57,$105.02
05/14/2026,$115.93,118279800,$114.66,$118.57,$113.17
05/13/2026,$120.29,115364400,$124.10,$125.00,$116.41
05/12/2026,$120.61,172516500,$124.36,$127.79,$115.00
05/11/2026,$129.44,179486500,$130.88,$132.75,$123.92
05/08/2026,$124.92,227681300,$111.81,$130.57,$111.80
05/07/2026,$109.62,122699900,$111.02,$114.51,$109.15
05/06/2026,$113.01,157320100,$110.975,$113.50,$106.5801
05/05/2026,$108.15,198482000,$100.505,$110.48,$100.08
05/04/2026,$95.78,119294000,$99.18,$99.82,$95.60
05/01/2026,$99.62,158502800,$93.20,$100.45,$92.61
04/30/2026,$94.48,160597300,$95.60,$95.69,$91.50
04/29/2026,$94.75,235070900,$86.135,$94.95,$85.87
04/28/2026,$84.52,147773500,$81.28,$84.59,$80.80
04/27/2026,$84.99,178820200,$83.67,$87.10,$82.61
04/24/2026,$82.54,281405200,$82.20,$85.22,$79.62
04/23/2026,$66.78,155141800,$66.10,$68.28,$65.42
04/22/2026,$65.27,90267290,$67.935,$68.77,$64.98
04/21/2026,$66.26,91402310,$67.14,$67.67,$65.64
04/20/2026,$65.70,96851070,$68.45,$69.205,$64.47
04/17/2026,$68.50,118831500,$68.85,$70.325,$67.735
04/16/2026,$68.50,108328300,$64.93,$68.61,$64.272
04/15/2026,$64.94,92051520,$63.77,$65.84,$62.875
04/14/2026,$63.81,112796100,$65.16,$65.18,$62.089
04/13/2026,$65.18,112111000,$62.18,$65.65,$62.18
04/10/2026,$62.38,98624440,$61.52,$63.39,$60.75
