DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Jul-2026,EQ,"2,100.00","2,154.50","2,092.10","2,098.40","2,140.00","2,143.80","2,135.89","2,479.60","2,022.50","10,59,832","2,26,36,82,679.60","58,369"
16-Jul-2026,EQ,"2,104.90","2,123.00","2,096.00","2,102.60","2,097.00","2,098.40","2,106.98","2,479.60","2,022.50","21,43,092","4,51,54,59,977.00","59,523"
15-Jul-2026,EQ,"2,121.00","2,128.50","2,091.00","2,120.20","2,102.80","2,102.60","2,101.57","2,479.60","2,022.50","20,29,614","4,26,53,78,793.10","65,065"
14-Jul-2026,EQ,"2,125.00","2,145.00","2,116.10","2,130.60","2,118.00","2,120.20","2,127.50","2,479.60","2,022.50","26,81,897","5,70,57,48,578.40","1,23,426"
13-Jul-2026,EQ,"2,143.00","2,143.00","2,120.00","2,150.60","2,133.90","2,130.60","2,128.77","2,479.60","2,022.50","18,33,988","3,90,41,30,063.00","54,715"
10-Jul-2026,EQ,"2,151.50","2,178.00","2,145.00","2,144.50","2,148.00","2,150.60","2,154.39","2,479.60","2,022.50","16,65,179","3,58,74,42,014.20","62,326"
09-Jul-2026,EQ,"2,139.00","2,166.80","2,137.10","2,135.80","2,143.00","2,144.50","2,152.09","2,479.60","2,022.50","22,01,039","4,73,68,27,763.60","84,156"
08-Jul-2026,EQ,"2,199.00","2,199.00","2,130.00","2,208.80","2,134.60","2,135.80","2,157.66","2,479.60","2,022.50","13,26,689","2,86,25,39,977.70","62,987"
07-Jul-2026,EQ,"2,200.00","2,219.40","2,193.70","2,202.00","2,203.10","2,208.80","2,207.54","2,479.60","2,022.50","25,52,492","5,63,47,29,268.60","81,657"
06-Jul-2026,EQ,"2,202.10","2,221.40","2,190.30","2,201.20","2,200.00","2,202.00","2,205.23","2,479.60","2,022.50","21,31,061","4,69,94,76,460.20","75,334"
03-Jul-2026,EQ,"2,224.90","2,239.30","2,190.00","2,210.60","2,202.00","2,201.20","2,207.40","2,479.60","2,022.50","15,36,616","3,39,19,26,719.80","51,642"
02-Jul-2026,EQ,"2,186.00","2,216.00","2,179.20","2,182.00","2,209.00","2,210.60","2,200.55","2,479.60","2,022.50","25,85,362","5,68,92,23,937.70","91,993"
01-Jul-2026,EQ,"2,133.50","2,190.00","2,120.20","2,118.20","2,181.50","2,182.00","2,169.78","2,479.60","2,022.50","24,97,576","5,41,91,81,073.60","96,323"
30-Jun-2026,EQ,"2,151.00","2,151.30","2,114.20","2,151.30","2,123.30","2,118.20","2,121.77","2,479.60","2,022.50","23,64,422","5,01,67,49,090.30","1,26,760"
29-Jun-2026,EQ,"2,172.00","2,189.90","2,143.00","2,174.20","2,145.20","2,151.30","2,161.18","2,479.60","2,022.50","14,23,514","3,07,64,76,844.10","75,103"
25-Jun-2026,EQ,"2,161.00","2,200.90","2,161.00","2,157.80","2,177.00","2,174.20","2,182.81","2,479.60","2,022.50","18,98,262","4,14,35,46,344.40","1,23,074"
24-Jun-2026,EQ,"2,160.00","2,166.00","2,140.00","2,160.10","2,160.00","2,157.80","2,155.64","2,479.60","2,022.50","9,42,271","2,03,11,92,376.90","48,741"
23-Jun-2026,EQ,"2,160.10","2,179.70","2,156.00","2,184.90","2,160.00","2,160.10","2,165.87","2,479.60","2,022.50","7,10,082","1,53,79,46,418.30","34,816"
22-Jun-2026,EQ,"2,203.70","2,208.20","2,182.50","2,194.60","2,186.50","2,184.90","2,189.27","2,479.60","2,022.50","7,65,860","1,67,66,73,035.30","50,486"
19-Jun-2026,EQ,"2,209.60","2,210.60","2,179.90","2,218.50","2,202.00","2,194.60","2,193.31","2,479.60","2,022.50","15,08,994","3,30,96,97,096.20","56,099"
18-Jun-2026,EQ,"2,208.70","2,221.60","2,196.80","2,197.60","2,213.50","2,218.50","2,210.21","2,479.60","2,022.50","11,20,482","2,47,65,00,478.20","44,030"
17-Jun-2026,EQ,"2,201.10","2,224.60","2,183.00","2,199.90","2,199.30","2,197.60","2,201.33","2,479.60","2,022.50","15,11,401","3,32,70,94,448.40","70,487"
16-Jun-2026,EQ,"2,161.00","2,209.00","2,160.10","2,156.10","2,197.00","2,199.90","2,193.42","2,479.60","2,022.50","13,37,309","2,93,32,75,731.60","81,553"
15-Jun-2026,EQ,"2,200.00","2,211.00","2,150.00","2,168.80","2,155.90","2,156.10","2,168.04","2,479.60","2,022.50","14,39,449","3,12,07,85,179.60","70,863"
12-Jun-2026,EQ,"2,151.20","2,179.40","2,145.00","2,139.80","2,162.70","2,168.80","2,161.45","2,479.60","2,022.50","11,56,153","2,49,89,61,679.80","60,971"
11-Jun-2026,EQ,"2,164.00","2,165.00","2,135.30","2,169.50","2,141.00","2,139.80","2,147.28","2,479.60","2,022.50","11,78,896","2,53,14,14,787.00","70,242"
10-Jun-2026,EQ,"2,134.90","2,204.90","2,133.50","2,132.80","2,172.30","2,169.50","2,183.22","2,479.60","2,022.50","23,25,534","5,07,71,63,576.70","1,09,116"
09-Jun-2026,EQ,"2,119.70","2,138.60","2,110.10","2,110.10","2,134.90","2,132.80","2,127.29","2,479.60","2,022.50","14,60,636","3,10,71,99,314.30","76,973"
08-Jun-2026,EQ,"2,105.30","2,125.00","2,091.50","2,121.50","2,109.00","2,110.10","2,109.17","2,479.60","2,022.50","16,01,497","3,37,78,28,118.60","67,517"
05-Jun-2026,EQ,"2,086.70","2,127.50","2,077.20","2,079.40","2,121.20","2,121.50","2,108.79","2,479.60","2,022.50","18,22,999","3,84,43,17,953.20","74,294"
04-Jun-2026,EQ,"2,089.00","2,110.90","2,073.50","2,090.60","2,081.40","2,079.40","2,089.25","2,479.60","2,022.50","21,42,735","4,47,67,10,542.00","85,943"
03-Jun-2026,EQ,"2,092.00","2,099.60","2,072.20","2,093.70","2,086.90","2,090.60","2,086.29","2,479.60","2,022.50","15,44,973","3,22,32,55,359.30","49,641"
02-Jun-2026,EQ,"2,079.00","2,097.00","2,065.70","2,084.30","2,095.80","2,093.70","2,082.49","2,479.60","2,022.50","21,48,903","4,47,50,78,732.00","89,403"
01-Jun-2026,EQ,"2,158.50","2,167.50","2,080.30","2,153.50","2,091.80","2,084.30","2,105.96","2,479.60","2,022.50","14,70,488","3,09,67,85,486.90","87,914"
29-May-2026,EQ,"2,133.50","2,207.80","2,118.10","2,198.40","2,161.00","2,153.50","2,155.81","2,479.60","2,022.50","1,77,01,621","38,16,13,39,110.70","1,75,612"
27-May-2026,EQ,"2,205.10","2,214.60","2,187.00","2,209.40","2,201.90","2,198.40","2,198.96","2,479.60","2,022.50","6,16,538","1,35,57,42,651.30","48,525"
26-May-2026,EQ,"2,199.60","2,220.00","2,190.00","2,196.50","2,204.00","2,209.40","2,204.16","2,479.60","2,022.50","23,02,703","5,07,55,20,743.00","65,211"
25-May-2026,EQ,"2,215.00","2,238.10","2,192.90","2,203.60","2,198.00","2,196.50","2,210.65","2,479.60","2,022.50","7,80,722","1,72,59,00,241.70","40,120"
22-May-2026,EQ,"2,180.00","2,224.50","2,175.40","2,179.00","2,205.00","2,203.60","2,203.81","2,479.60","2,022.50","13,82,889","3,04,76,20,277.70","56,894"
21-May-2026,EQ,"2,224.00","2,229.00","2,176.00","2,209.30","2,178.40","2,179.00","2,191.06","2,479.60","2,022.50","15,81,812","3,46,58,42,897.10","78,825"
20-May-2026,EQ,"2,224.90","2,226.90","2,201.00","2,232.90","2,212.00","2,209.30","2,212.30","2,479.60","2,022.50","10,71,994","2,37,15,75,764.30","47,440"
19-May-2026,EQ,"2,242.00","2,282.00","2,229.50","2,254.20","2,230.00","2,232.90","2,249.14","2,479.60","2,022.50","11,45,022","2,57,53,13,253.60","59,001"
18-May-2026,EQ,"2,263.10","2,265.00","2,224.70","2,272.20","2,262.00","2,254.20","2,243.37","2,479.60","2,022.50","11,18,204","2,50,85,44,427.80","79,608"
15-May-2026,EQ,"2,248.70","2,298.90","2,246.20","2,248.70","2,270.10","2,272.20","2,277.53","2,479.60","2,022.50","10,38,522","2,36,52,62,769.20","61,228"
14-May-2026,EQ,"2,268.00","2,285.90","2,245.00","2,267.30","2,249.60","2,248.70","2,257.02","2,479.60","2,022.50","13,80,764","3,11,64,08,652.70","72,439"
13-May-2026,EQ,"2,265.00","2,295.80","2,250.00","2,262.00","2,274.40","2,267.30","2,273.56","2,479.60","2,022.50","13,08,559","2,97,50,93,170.10","68,289"
12-May-2026,EQ,"2,285.30","2,307.00","2,256.00","2,307.20","2,267.00","2,262.00","2,280.53","2,479.60","2,022.50","9,83,506","2,24,29,19,758.80","72,303"
11-May-2026,EQ,"2,277.10","2,317.10","2,259.20","2,287.70","2,309.90","2,307.20","2,300.47","2,479.60","2,022.50","19,03,862","4,37,97,80,133.50","69,049"
